expid,cdtid,zecoid,aoTermId,chebiTermId,ccTermId,extra
ZDB-EXP-050923-1,ZECO:0000102,CHEBI:4031,none,none,,,
ZDB-EXP-050923-2,ZECO:0000102,CHEBI:17051,none,none,,,
ZDB-EXP-050926-1,ZECO:0000102,CHEBI:4021,none,none,,,
ZDB-EXP-050926-2,ZECO:0000102,,none,none,,,
ZDB-EXP-050927-4,ZECO:0000102,CHEBI:15367,none,none,,,
ZDB-EXP-050929-1,ZECO:0000102,CHEBI:16469,none,none,,,
ZDB-EXP-051013-3,ZECO:0000102,CHEBI:15367,none,none,,,
ZDB-EXP-051014-1,ZECO:0000102,CHEBI:9513,none,none,,,
ZDB-EXP-051014-2,ZECO:0000102,CHEBI:17761 ,none,none,,,
ZDB-EXP-051014-3,ZECO:0000102,CHEBI:9513,none,none,,,
ZDB-EXP-051014-4,ZECO:0000162,,none,none,,,
ZDB-EXP-051017-1,ZECO:0000102,CHEBI:37550,none,none,,,
ZDB-EXP-051017-1,ZECO:0000102,CHEBI:9513,none,none,,,
ZDB-EXP-051017-2,ZECO:0000162,,none,none,,,
ZDB-EXP-051018-1,ZECO:0000102,CHEBI:28119,none,none,,,
ZDB-EXP-051018-6,ZECO:0000102,CHEBI:78886,none,none,,,
ZDB-EXP-051019-1,ZECO:0000102,CHEBI:4021,none,none,,,
ZDB-EXP-051027-2,ZECO:0000102,CHEBI:42471,none,none,,,
ZDB-EXP-051031-2,ZECO:0000102,CHEBI:9516,none,none,,,
ZDB-EXP-051031-8,ZECO:0000102,CHEBI:9516,none,none,,,
ZDB-EXP-051101-1,ZECO:0000229,ZFA:0000108,none,none,,,
ZDB-EXP-051101-2,ZECO:0000166,,none,none,,,
ZDB-EXP-051101-2,ZECO:0000229,ZFA:0000108,none,none,,,
ZDB-EXP-051101-3,ZECO:0000172,,none,none,,,
ZDB-EXP-051101-3,ZECO:0000162,,none,none,,,
ZDB-EXP-051101-4,ZECO:0000172,,none,none,,,
ZDB-EXP-051101-4,ZECO:0000162,,none,none,,,
ZDB-EXP-051101-5,ZECO:0000229,,none,none,,,
ZDB-EXP-051101-5,ZECO:0000162,,none,none,,,
