genox_zdb_id,genox_exp_zdb_id,genox_is_standard,genox_is_std_or_generic_control,genox_fish_zdb_id
ZDB-GENOX-170628-36,ZDB-EXP-041102-1,t,t,ZDB-FISH-170628-43
ZDB-GENOX-170628-37,ZDB-EXP-041102-1,t,t,ZDB-FISH-170628-40
ZDB-GENOX-170628-38,ZDB-EXP-041102-1,t,t,ZDB-FISH-170628-36
ZDB-GENOX-170628-39,ZDB-EXP-041102-1,t,t,ZDB-FISH-170628-38
ZDB-GENOX-170628-4,ZDB-EXP-041102-1,t,t,ZDB-FISH-170612-12
ZDB-GENOX-170628-40,ZDB-EXP-041102-1,t,t,ZDB-FISH-170628-30
ZDB-GENOX-170628-41,ZDB-EXP-041102-1,t,t,ZDB-FISH-170628-26
ZDB-GENOX-170628-42,ZDB-EXP-041102-1,t,t,ZDB-FISH-170628-39
ZDB-GENOX-170628-43,ZDB-EXP-041102-1,t,t,ZDB-FISH-170628-27
ZDB-GENOX-170628-44,ZDB-EXP-041102-1,t,t,ZDB-FISH-170612-10
ZDB-GENOX-170628-45,ZDB-EXP-041102-1,t,t,ZDB-FISH-170612-14
ZDB-GENOX-170628-46,ZDB-EXP-041102-1,t,t,ZDB-FISH-170628-13
ZDB-GENOX-170628-47,ZDB-EXP-041102-1,t,t,ZDB-FISH-170628-16
ZDB-GENOX-170628-48,ZDB-EXP-041102-1,t,t,ZDB-FISH-170628-19
ZDB-GENOX-170628-49,ZDB-EXP-170628-1,f,f,ZDB-FISH-170628-44
ZDB-GENOX-170628-5,ZDB-EXP-041102-1,t,t,ZDB-FISH-150901-19900
ZDB-GENOX-170628-50,ZDB-EXP-170628-1,f,f,ZDB-FISH-150901-19869
ZDB-GENOX-170628-51,ZDB-EXP-170628-1,f,f,ZDB-FISH-170628-45
ZDB-GENOX-170628-52,ZDB-EXP-170628-1,f,f,ZDB-FISH-170628-47
ZDB-GENOX-170628-53,ZDB-EXP-170628-1,f,f,ZDB-FISH-170628-46
ZDB-GENOX-170628-54,ZDB-EXP-041102-1,t,t,ZDB-FISH-150901-19869
ZDB-GENOX-170628-55,ZDB-EXP-041102-1,t,t,ZDB-FISH-170628-44
ZDB-GENOX-170628-6,ZDB-EXP-041102-1,t,t,ZDB-FISH-170612-13
ZDB-GENOX-170628-7,ZDB-EXP-170628-1,f,f,ZDB-FISH-150901-27842
ZDB-GENOX-170628-8,ZDB-EXP-041102-1,t,t,ZDB-FISH-170628-6
ZDB-GENOX-170628-9,ZDB-EXP-170628-1,f,f,ZDB-FISH-150901-3073
ZDB-GENOX-170629-1,ZDB-EXP-041102-1,t,t,ZDB-FISH-170628-2
ZDB-GENOX-170629-10,ZDB-EXP-041102-1,t,t,ZDB-FISH-170629-8
ZDB-GENOX-170629-11,ZDB-EXP-041102-1,t,t,ZDB-FISH-170629-15
ZDB-GENOX-170629-12,ZDB-EXP-041102-1,t,t,ZDB-FISH-170629-4
ZDB-GENOX-170629-13,ZDB-EXP-041102-1,t,t,ZDB-FISH-170629-5
ZDB-GENOX-170629-14,ZDB-EXP-041102-1,t,t,ZDB-FISH-150901-29944
ZDB-GENOX-170629-15,ZDB-EXP-041102-1,t,t,ZDB-FISH-170629-9
ZDB-GENOX-170629-16,ZDB-EXP-041102-1,t,t,ZDB-FISH-150901-18907
ZDB-GENOX-170629-17,ZDB-EXP-041102-1,t,t,ZDB-FISH-170629-10
ZDB-GENOX-170629-18,ZDB-EXP-070511-5,t,t,ZDB-FISH-150901-18907
ZDB-GENOX-170629-19,ZDB-EXP-070511-5,t,t,ZDB-FISH-170629-10
ZDB-GENOX-170629-2,ZDB-EXP-041102-1,t,t,ZDB-FISH-170628-3
ZDB-GENOX-170629-20,ZDB-EXP-170629-2,f,f,ZDB-FISH-170629-10
ZDB-GENOX-170629-21,ZDB-EXP-170629-2,f,f,ZDB-FISH-150901-18907
ZDB-GENOX-170629-3,ZDB-EXP-041102-1,t,t,ZDB-FISH-170628-4
ZDB-GENOX-170629-4,ZDB-EXP-170629-1,f,f,ZDB-FISH-150901-29105
ZDB-GENOX-170629-5,ZDB-EXP-041102-1,t,t,ZDB-FISH-170629-1
ZDB-GENOX-170629-6,ZDB-EXP-041102-1,t,t,ZDB-FISH-170629-2
ZDB-GENOX-170629-7,ZDB-EXP-041102-1,t,t,ZDB-FISH-170629-3
ZDB-GENOX-170629-8,ZDB-EXP-041102-1,t,t,ZDB-FISH-170629-7
ZDB-GENOX-170629-9,ZDB-EXP-041102-1,t,t,ZDB-FISH-170629-6
ZDB-GENOX-170630-1,ZDB-EXP-070511-5,t,t,ZDB-FISH-170623-7
ZDB-GENOX-170630-10,ZDB-EXP-041102-1,t,t,ZDB-FISH-170629-11
ZDB-GENOX-170630-11,ZDB-EXP-041102-1,t,t,ZDB-FISH-170630-6
ZDB-GENOX-170630-12,ZDB-EXP-041102-1,t,t,ZDB-FISH-170630-7
ZDB-GENOX-170630-13,ZDB-EXP-041102-1,t,t,ZDB-FISH-170630-8
ZDB-GENOX-170630-14,ZDB-EXP-041102-1,t,t,ZDB-FISH-170629-13
ZDB-GENOX-170630-15,ZDB-EXP-070511-5,t,t,ZDB-FISH-170629-13
ZDB-GENOX-170630-16,ZDB-EXP-170629-3,f,f,ZDB-FISH-170629-13
ZDB-GENOX-170630-17,ZDB-EXP-170629-3,f,f,ZDB-FISH-170629-14
ZDB-GENOX-170630-18,ZDB-EXP-070511-5,t,t,ZDB-FISH-170629-14
ZDB-GENOX-170630-19,ZDB-EXP-041102-1,t,t,ZDB-FISH-170629-14
ZDB-GENOX-170630-2,ZDB-EXP-070511-5,t,t,ZDB-FISH-170623-8
ZDB-GENOX-170630-20,ZDB-EXP-041102-1,t,t,ZDB-FISH-170630-11
ZDB-GENOX-170630-21,ZDB-EXP-041102-1,t,t,ZDB-FISH-170630-12
ZDB-GENOX-170630-22,ZDB-EXP-041102-1,t,t,ZDB-FISH-170630-14
ZDB-GENOX-170630-23,ZDB-EXP-041102-1,t,t,ZDB-FISH-170630-16
