alleleid,ensdarg1,ensdarg2
sa38657,ENSDARG00000079151,ENSDARG00000101079
sa39523,ENSDARG00000039941,ENSDARG00000104539
sa44039,ENSDARG00000091294,
sa42331,ENSDARG00000088522,
sa44431,ENSDARG00000039941,ENSDARG00000104539
sa38216,ENSDARG00000091482,
sa42628,ENSDARG00000086671,
sa43961,ENSDARG00000086098,ENSDARG00000086098
sa43182,ENSDARG00000077255,ENSDARG00000098597
sa38376,ENSDARG00000086359,
sa31113,ENSDARG00000041023,
sa39665,ENSDARG00000076277,ENSDARG00000076277
sa37434,ENSDARG00000086839,ENSDARG00000086839
sa24790,ENSDARG00000090467,ENSDARG00000105274
sa40862,ENSDARG00000077986,ENSDARG00000077986
sa21156,ENSDARG00000090535,
sa33090,ENSDARG00000079210,
sa38413,ENSDARG00000078684,
sa44038,ENSDARG00000038891,ENSDARG00000038891
sa41594,ENSDARG00000090025,
sa43366,ENSDARG00000033587,ENSDARG00000033587
sa32067,ENSDARG00000088463,ENSDARG00000088463
sa20824,ENSDARG00000026246,ENSDARG00000026246
sa34263,ENSDARG00000059452,ENSDARG00000104937
sa43161,ENSDARG00000078775,ENSDARG00000078775
sa39519,ENSDARG00000079999,ENSDARG00000098968
sa36275,ENSDARG00000086406,
sa43766,ENSDARG00000079047,
sa33081,ENSDARG00000069514,ENSDARG00000069514
sa39134,ENSDARG00000087719,
sa38303,ENSDARG00000076795,
sa38229,ENSDARG00000077051,
sa8679,ENSDARG00000067809,ENSDARG00000102476
sa34265,ENSDARG00000089789,
sa37567,ENSDARG00000077959,ENSDARG00000077959
sa40833,ENSDARG00000090684,
sa38455,ENSDARG00000097046,ENSDARG00000097046
sa43008,ENSDARG00000088946,
sa43143,ENSDARG00000068104,ENSDARG00000068104
sa35610,ENSDARG00000059269,
sa39731,ENSDARG00000091359,ENSDARG00000091359
sa37608,ENSDARG00000063282,
sa41733,ENSDARG00000054515,
sa36713,ENSDARG00000078775,ENSDARG00000078775
sa30654,ENSDARG00000054515,
sa44373,ENSDARG00000088914,ENSDARG00000104160
sa38174,ENSDARG00000089905,
sa32361,ENSDARG00000089275,
sa38219,ENSDARG00000090611,
sa42366,ENSDARG00000036829,
sa9162,ENSDARG00000058991,ENSDARG00000058991
sa42815,ENSDARG00000091559,ENSDARG00000104134
sa38226,ENSDARG00000087101,
sa35160,ENSDARG00000036424,ENSDARG00000036424
sa33295,ENSDARG00000059491,ENSDARG00000059491
sa37201,ENSDARG00000086965,
sa43055,ENSDARG00000040406,
sa32225,ENSDARG00000077668,
sa37602,ENSDARG00000073822,ENSDARG00000073822
sa41929,ENSDARG00000037357,ENSDARG00000037357
sa41552,ENSDARG00000088508,
sa34534,ENSDARG00000060912,ENSDARG00000098636
sa41208,ENSDARG00000086708,ENSDARG00000086708
sa32321,ENSDARG00000073803,
sa21114,ENSDARG00000077330,ENSDARG00000077330
sa44403,ENSDARG00000090665,
sa35186,ENSDARG00000086308,
sa39180,ENSDARG00000087273,
sa43205,ENSDARG00000039462,
sa37849,ENSDARG00000069620,ENSDARG00000100113
sa24419,ENSDARG00000069904,ENSDARG00000069904
sa34897,ENSDARG00000074139,
sa44406,ENSDARG00000076937,
sa37543,ENSDARG00000088907,ENSDARG00000102457
sa30827,ENSDARG00000031624,
sa19377,ENSDARG00000087915,
sa40803,ENSDARG00000014169,ENSDARG00000014169
sa37736,ENSDARG00000030766,
sa30397,ENSDARG00000037566,
sa39753,ENSDARG00000019278,ENSDARG00000019278
