GAF Load Error Summary
============================================================
Total errors: 3,317
Unique error categories: 641

Error Counts by Category
------------------------------------------------------------
   2,180  Goref ID is not known or loaded
       1  Cannot add root-term annotation GO:0003674 for marker 'elna' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'elnb' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'exoc7' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'fbxo45' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'firrm' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'fis1' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'flot2a' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'frmd7' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'frrs1b' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'frs2b' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'ftr65' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'ftr81' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'gcnt4b.2' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'gid8a' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'gigyf2' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'glipr1b' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'glmnb' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'gpank1' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'gpatch11' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'gpatch4' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'gtf3ab' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'gtf3c4' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'hhla2a.1' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'hspb2' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'hspbap1' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'iffo1b' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'ifi27.2' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'im:6906574' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'im:7140096' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'im:7147916' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'im:7150988' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'im:7152348' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'im:7157749' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'im:7160088' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'im:7160358' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'inka1b' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'ints14' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'itga6l' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'itih3b.2' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'klhdc3' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'kntc1' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'krt1-19e' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'krt15' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'krt92' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'krt98' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'krt99' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'larp4b' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'lgalsla' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'limd1b' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'lmcd1' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'lrrc3b' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'lsm12a' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'lsm12b' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'lsm14b' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'lxn' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'lyrm7' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'manea' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'mansc1' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'marchf11' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'marchf7' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'mbd5' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'mcoln3b' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'meak7' as there are already non-root term annotations existent.
