cneid,cneabbrev,cnetype,nccrid,nccrabbrev,nccrname,nccrtype
ZDB-CNE-181002-67,nc.tshz2.8749,CNE,ZDB-CNE-181002-67,nccr.tshz2.8749,conserved non-coding element tshz2_8749,NCCR
ZDB-CNE-181002-68,nc.znf503.10193,CNE,ZDB-CNE-181002-68,nccr.znf503.10193,conserved non-coding element znf503_10193,NCCR
ZDB-CNE-181002-69,nc.pou3f2b.9802,CNE,ZDB-CNE-181002-69,nccr.pou3f2b.9802,conserved non-coding element pou3f2b_9802,NCCR
ZDB-CNE-181002-70,nc.fign.5161,CNE,ZDB-CNE-181002-70,nccr.fign.5161,conserved non-coding element fign_5161,NCCR
ZDB-CNE-181002-71,nc.esrrb.9004,CNE,ZDB-CNE-181002-71,nccr.esrrb.9004,conserved non-coding element esrrb_9004,NCCR
ZDB-CNE-181002-72,nc.barhl2.3932,CNE,ZDB-CNE-181002-72,nccr.barhl2.3932,conserved non-coding element barhl2_3932,NCCR
ZDB-CNE-181002-73,nc.bcl11a.2446,CNE,ZDB-CNE-181002-73,nccr.bcl11a.2446,conserved non-coding element bcl11a_2446,NCCR
ZDB-CNE-181002-74,nc.tcf7l2.5398,CNE,ZDB-CNE-181002-74,nccr.tcf7l2.5398,conserved non-coding element tcf7l2_5398,NCCR
ZDB-CNE-181002-75,nc.sox14.11250,CNE,ZDB-CNE-181002-75,nccr.sox14.11250,conserved non-coding element sox14_11250,NCCR
ZDB-CNE-181002-76,nc.maf.11498,CNE,ZDB-CNE-181002-76,nccr.maf.11498,conserved non-coding element maf_11498,NCCR
ZDB-CNE-181002-77,nc.meis2a.974,CNE,ZDB-CNE-181002-77,nccr.meis2a.974,conserved non-coding element meis2a_974,NCCR
ZDB-CNE-181002-78,nc.esrrb.9032,CNE,ZDB-CNE-181002-78,nccr.esrrb.9032,conserved non-coding element esrrb_9032,NCCR
ZDB-CNE-181002-79,nc.esrrg.9376,CNE,ZDB-CNE-181002-79,nccr.esrrg.9376,conserved non-coding element esrrg_9376,NCCR
ZDB-CNE-181002-80,nc.satb1.5966,CNE,ZDB-CNE-181002-80,nccr.satb1.5966,conserved non-coding element satb1_5966,NCCR
ZDB-CNE-181002-81,nc.uncx.9830,CNE,ZDB-CNE-181002-81,nccr.uncx.9830,conserved non-coding element uncx_9830,NCCR
ZDB-CNE-181002-82,nc.znf503.10156,CNE,ZDB-CNE-181002-82,nccr.znf503.10156,conserved non-coding element znf503_10156,NCCR
ZDB-CNE-181002-83,nc.hoxa.12003,CNE,ZDB-CNE-181002-83,nccr.hoxa.12003,conserved non-coding element hoxa_12003,NCCR
ZDB-CNE-181002-84,nc.lmo4.2659,CNE,ZDB-CNE-181002-84,nccr.lmo4.2659,conserved non-coding element lmo4_2659,NCCR
ZDB-CNE-181002-85,nc.sall3a.2991,CNE,ZDB-CNE-181002-85,nccr.sall3a.2991,conserved non-coding element sall3a_2991,NCCR
ZDB-CNE-181002-86,nc.foxp2.3531,CNE,ZDB-CNE-181002-86,nccr.foxp2.3531,conserved non-coding element foxp2_3531,NCCR
ZDB-CNE-181002-87,nc.pbx3b.3253,CNE,ZDB-CNE-181002-87,nccr.pbx3b.3253,conserved non-coding element pbx3b_3253,NCCR
ZDB-CNE-181002-88,nc.pou3f1.7785,CNE,ZDB-CNE-181002-88,nccr.pou3f1.7785,conserved non-coding element pou3f1_7785,NCCR
ZDB-CNE-181002-89,nc.foxd3.330,CNE,ZDB-CNE-181002-89,nccr.foxd3.330,conserved non-coding element foxd3_330,NCCR
