allele,fish_abbrev,locus_name,locus_abbrev,mutation,mutagen,m bkgrd,p bkgrd,reference
t31477,un-named t31477<sup>t31477</sup>,un-named t31477,unm t31477,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31008,un-named t31008<sup>t31008</sup>,un-named t31008,unm t31008,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31009,un-named t31009<sup>t31009</sup>,un-named t31009,unm t31009,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31010,un-named t31010<sup>t31010</sup>,un-named t31010,unm t31010,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31011,un-named t31011<sup>t31011</sup>,un-named t31011,unm t31011,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31087,un-named t31087<sup>t31087</sup>,un-named t31087,unm t31087,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31154,un-named t31154<sup>t31154</sup>,un-named t31154,unm t31154,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31156,un-named t31156<sup>t31156</sup>,un-named t31156,unm t31156,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31288,un-named t31288<sup>t31288</sup>,un-named t31288,unm t31288,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31289,un-named t31289<sup>t31289</sup>,un-named t31289,unm t31289,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31337,un-named t31337<sup>t31337</sup>,un-named t31337,unm t31337,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31338,un-named t31338<sup>t31338</sup>,un-named t31338,unm t31338,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31414,un-named t31414<sup>t31414</sup>,un-named t31414,unm t31414,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31415,un-named t31415<sup>t31415</sup>,un-named t31415,unm t31415,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31435,un-named t31435<sup>t31435</sup>,un-named t31435,unm t31435,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31436,un-named t31436<sup>t31436</sup>,un-named t31436,unm t31436,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31490,un-named t31490<sup>t31490</sup>,un-named t31490,unm t31490,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31492,un-named t31492<sup>t31492</sup>,un-named t31492,unm t31492,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31000,un-named t31000<sup>t31000</sup>,un-named t31000,unm t31000,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31001,un-named t31001<sup>t31001</sup>,un-named t31001,unm t31001,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31006,un-named t31006<sup>t31006</sup>,un-named t31006,unm t31006,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31079,un-named t31079<sup>t31079</sup>,un-named t31079,unm t31079,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31080,un-named t31080<sup>t31080</sup>,un-named t31080,unm t31080,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31082,un-named t31082<sup>t31082</sup>,un-named t31082,unm t31082,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31084,un-named t31084<sup>t31084</sup>,un-named t31084,unm t31084,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31085,un-named t31085<sup>t31085</sup>,un-named t31085,unm t31085,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31119,un-named t31119<sup>t31119</sup>,un-named t31119,unm t31119,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31159,un-named t31159<sup>t31159</sup>,un-named t31159,unm t31159,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31160,un-named t31160<sup>t31160</sup>,un-named t31160,unm t31160,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31161,un-named t31161<sup>t31161</sup>,un-named t31161,unm t31161,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31185,un-named t31185<sup>t31185</sup>,un-named t31185,unm t31185,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31186,un-named t31186<sup>t31186</sup>,un-named t31186,unm t31186,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31284,un-named t31284<sup>t31284</sup>,un-named t31284,unm t31284,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31285,un-named t31285<sup>t31285</sup>,un-named t31285,unm t31285,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31327,un-named t31327<sup>t31327</sup>,un-named t31327,unm t31327,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31412,un-named t31412<sup>t31412</sup>,un-named t31412,unm t31412,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31437,un-named t31437<sup>t31437</sup>,un-named t31437,unm t31437,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31438,un-named t31438<sup>t31438</sup>,un-named t31438,unm t31438,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31439,un-named t31439<sup>t31439</sup>,un-named t31439,unm t31439,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31440,un-named t31440<sup>t31440</sup>,un-named t31440,unm t31440,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31483,un-named t31483<sup>t31483</sup>,un-named t31483,unm t31483,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31484,un-named t31484<sup>t31484</sup>,un-named t31484,unm t31484,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31485,un-named t31485<sup>t31485</sup>,un-named t31485,unm t31485,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31486,un-named t31486<sup>t31486</sup>,un-named t31486,unm t31486,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31487,un-named t31487<sup>t31487</sup>,un-named t31487,unm t31487,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31488,un-named t31488<sup>t31488</sup>,un-named t31488,unm t31488,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31489,un-named t31489<sup>t31489</sup>,un-named t31489,unm t31489,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t30760,un-named t30760<sup>t30760</sup>,un-named t30760,unm t30760,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t30761,un-named t30761<sup>t30761</sup>,un-named t30761,unm t30761,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t30763,un-named t30763<sup>t30763</sup>,un-named t30763,unm t30763,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t30818,un-named t30818<sup>t30818</sup>,un-named t30818,unm t30818,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t30824,un-named t30824<sup>t30824</sup>,un-named t30824,unm t30824,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t30954,un-named t30954<sup>t30954</sup>,un-named t30954,unm t30954,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t30981,un-named t30981<sup>t30981</sup>,un-named t30981,unm t30981,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31182,un-named t31182<sup>t31182</sup>,un-named t31182,unm t31182,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31306,un-named t31306<sup>t31306</sup>,un-named t31306,unm t31306,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31307,un-named t31307<sup>t31307</sup>,un-named t31307,unm t31307,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31418,un-named t31418<sup>t31418</sup>,un-named t31418,unm t31418,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31482,un-named t31482<sup>t31482</sup>,un-named t31482,unm t31482,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31304,un-named t31304<sup>t31304</sup>,un-named t31304,unm t31304,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31305,un-named t31305<sup>t31305</sup>,un-named t31305,unm t31305,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t30993,un-named t30993<sup>t30993</sup>,un-named t30993,unm t30993,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t30994,un-named t30994<sup>t30994</sup>,un-named t30994,unm t30994,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t30995,un-named t30995<sup>t30995</sup>,un-named t30995,unm t30995,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t30996,un-named t30996<sup>t30996</sup>,un-named t30996,unm t30996,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t30997,un-named t30997<sup>t30997</sup>,un-named t30997,unm t30997,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31075,un-named t31075<sup>t31075</sup>,un-named t31075,unm t31075,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31076,un-named t31076<sup>t31076</sup>,un-named t31076,unm t31076,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
