featureid,variantnote,allelenote
ZDB-ALT-130314-2,variant,allele
ZDB-ALT-120524-1,variant,allele
ZDB-ALT-090313-1,variant,allele
ZDB-ALT-100426-1,variant,allele
ZDB-ALT-120531-1,variant,allele
ZDB-ALT-101006-6,variant,allele
ZDB-ALT-100429-3,variant,allele
ZDB-ALT-111014-7,variant,allele
ZDB-ALT-111014-2,variant,allele
ZDB-ALT-111014-6,variant,allele
ZDB-ALT-111014-5,variant,allele
ZDB-ALT-111014-1,variant,allele
ZDB-ALT-111014-12,variant,allele
ZDB-ALT-111014-8,variant,allele
ZDB-ALT-111014-10,variant,allele
ZDB-ALT-111014-9,variant,allele
ZDB-ALT-111014-13,variant,allele
ZDB-ALT-111014-3,variant,allele
ZDB-ALT-111014-11,variant,allele
ZDB-ALT-110413-6,variant,allele
ZDB-ALT-040217-6,variant,allele
ZDB-ALT-040716-2,variant,allele
ZDB-ALT-040728-12,variant,allele
ZDB-ALT-100212-32,variant,allele
ZDB-ALT-100129-70,variant,allele
ZDB-ALT-110622-11,variant,allele
ZDB-ALT-110622-16,variant,allele
ZDB-ALT-110622-17,variant,allele
ZDB-ALT-110622-22,variant,allele
ZDB-ALT-110622-20,variant,allele
ZDB-ALT-110622-8,variant,allele
ZDB-ALT-110622-14,variant,allele
ZDB-ALT-110622-13,variant,allele
ZDB-ALT-110622-9,variant,allele
ZDB-ALT-110622-10,variant,allele
ZDB-ALT-110622-24,variant,allele
ZDB-ALT-110622-12,variant,allele
ZDB-ALT-100129-76,variant,allele
ZDB-ALT-100129-95,variant,allele
ZDB-ALT-100129-87,variant,allele
ZDB-ALT-100129-79,variant,allele
ZDB-ALT-100129-65,variant,allele
ZDB-ALT-100129-40,variant,allele
ZDB-ALT-100129-13,variant,allele
ZDB-ALT-100129-81,variant,allele
ZDB-ALT-100129-62,variant,allele
ZDB-ALT-100129-46,variant,allele
ZDB-ALT-040805-4,variant,allele
ZDB-ALT-170314-5,variant,allele
ZDB-ALT-151117-1,variant,allele
ZDB-ALT-120209-58,variant,allele
ZDB-ALT-131018-1,variant,allele
ZDB-ALT-120307-2,variant,allele
ZDB-ALT-151120-1,variant,allele
ZDB-ALT-151120-2,variant,allele
ZDB-ALT-140212-4,variant,allele
ZDB-ALT-140212-7,variant,allele
ZDB-ALT-140212-11,variant,allele
ZDB-ALT-140212-2,variant,allele
ZDB-ALT-111118-28,variant,allele
ZDB-ALT-140212-6,variant,allele
ZDB-ALT-090713-1,variant,allele
ZDB-ALT-090713-8,variant,allele
ZDB-ALT-090713-9,variant,allele
ZDB-ALT-090713-7,variant,allele
ZDB-ALT-090713-5,variant,allele
ZDB-ALT-090713-4,variant,allele
ZDB-ALT-090713-3,variant,allele
ZDB-ALT-090713-6,variant,allele
ZDB-ALT-090713-10,variant,allele
ZDB-ALT-090713-11,variant,allele
ZDB-ALT-090714-7,variant,allele
ZDB-ALT-090714-9,variant,allele
ZDB-ALT-090714-10,variant,allele
ZDB-ALT-090714-12,variant,allele
ZDB-ALT-090714-11,variant,allele
ZDB-ALT-090714-14,variant,allele
ZDB-ALT-090714-13,variant,allele
ZDB-ALT-090714-15,variant,allele
ZDB-ALT-090714-17,variant,allele
ZDB-ALT-090714-18,variant,allele
ZDB-ALT-090714-16,variant,allele
ZDB-ALT-090714-19,variant,allele
ZDB-ALT-090714-20,variant,allele
ZDB-ALT-090715-14,variant,allele
ZDB-ALT-090714-22,variant,allele
ZDB-ALT-090714-21,variant,allele
ZDB-ALT-090715-1,variant,allele
ZDB-ALT-090715-5,variant,allele
ZDB-ALT-090715-15,variant,allele
ZDB-ALT-090715-6,variant,allele
ZDB-ALT-090715-11,variant,allele
ZDB-ALT-090715-8,variant,allele
ZDB-ALT-090715-9,variant,allele
ZDB-ALT-090715-12,variant,allele
ZDB-ALT-131219-24,variant,allele
ZDB-ALT-131219-2,variant,allele
ZDB-ALT-131219-8,variant,allele
ZDB-ALT-131219-27,variant,allele
ZDB-ALT-131219-20,variant,allele
ZDB-ALT-131219-19,variant,allele
ZDB-ALT-131219-7,variant,allele
ZDB-ALT-131219-11,variant,allele
ZDB-ALT-131219-17,variant,allele
ZDB-ALT-131219-5,variant,allele
ZDB-ALT-131219-14,variant,allele
ZDB-ALT-131219-16,variant,allele
ZDB-ALT-131219-28,variant,allele
ZDB-ALT-131219-1,variant,allele
ZDB-ALT-120209-55,variant,allele
ZDB-ALT-150416-2,variant,allele
ZDB-ALT-111010-23,variant,allele
ZDB-ALT-120220-6,variant,allele
ZDB-ALT-090713-2,variant,allele
ZDB-ALT-040217-4,variant,allele
ZDB-ALT-120806-10083,variant,allele
