"Allele","ZFIN ID","Background"
"sa13672","ZDB-GENE-030131-1966","TL"
"sa13673","ZDB-GENE-050227-13","TL"
"sa13674","ZDB-GENE-040724-96","TL"
"sa13675","ZDB-GENE-000607-75","TL"
"sa13676","ZDB-GENE-070922-1","TL"
"sa13677","ZDB-GENE-040426-2386","TL"
"sa13678","ZDB-GENE-071218-4","TL"
"sa13679","ZDB-GENE-050522-276","TL"
"sa13681","ZDB-GENE-080327-20","TL"
"sa13682","ZDB-GENE-030131-8356","TL"
"sa13683","ZDB-GENE-030131-3511","TL"
"sa13684","ZDB-GENE-020809-2","TL"
"sa13685","ZDB-GENE-041210-301","TL"
"sa13686","ZDB-GENE-040426-1755","TL"
"sa13687","ZDB-GENE-030131-9827","TL"
"sa13688","ZDB-GENE-040724-76","TL"
"sa13689","ZDB-GENE-090313-282,ZDB-GENE-080225-6","TL"
"sa13690","ZDB-GENE-081028-71","TL"
"sa13691","ZDB-GENE-110411-42","TL"
"sa13693","ZDB-GENE-070912-336","TL"
"sa13694","ZDB-GENE-071218-5,ZDB-GENE-090313-399","TL"
"sa13695","ZDB-GENE-070912-385","TL"
"sa13696","ZDB-GENE-030131-8100","TL"
"sa13697","ZDB-GENE-081031-2","TL"
"sa13698","ZDB-GENE-010308-19","TL"
"sa13699","ZDB-GENE-030131-102","TL"
"sa13700","ZDB-GENE-111221-2","TL"
"sa13702","ZDB-GENE-070112-2192","TL"
"sa13703","ZDB-GENE-020416-2","TL"
"sa13704","ZDB-GENE-041210-304","TL"
"sa13705","ZDB-GENE-030131-4581","TL"
"sa13706","ZDB-GENE-040426-1524","TL"
"sa13707","ZDB-GENE-010126-1","TL"
"sa13708","ZDB-GENE-060503-369","TL"
"sa13709","ZDB-GENE-070925-2","TL"
"sa13710","ZDB-GENE-121214-124","TL"
"sa13711","ZDB-GENE-081104-411","TL"
"sa13712","ZDB-GENE-070912-38","TL"
"sa13714","ZDB-GENE-040426-1270","TL"
"sa13715","ZDB-GENE-040426-996","TL"
"sa13716","ZDB-GENE-030616-15","TL"
"sa13717","ZDB-GENE-030825-3","TL"
"sa13718","ZDB-GENE-061207-53","TL"
"sa13719","ZDB-GENE-060312-44","TL"
"sa13720","ZDB-GENE-041014-372,ZDB-GENE-080219-17","TL"
"sa13721","ZDB-GENE-040611-2","TL"
"sa13722","ZDB-GENE-100922-283","TL"
"sa13723","ZDB-GENE-030131-6428","TL"
"sa13724","ZDB-GENE-040625-126","TL"
"sa13725","ZDB-GENE-070705-462","TL"
"sa13726","ZDB-GENE-050417-131","TL"
"sa13727","ZDB-GENE-091116-25","TL"
"sa13728","ZDB-GENE-061103-403","TL"
"sa13729","ZDB-GENE-061013-527","TL"
"sa13731","ZDB-GENE-060616-238","TL"
"sa13732","ZDB-GENE-090313-322","TL"
"sa13733","ZDB-GENE-040724-63","TL"
"sa13734","ZDB-GENE-050517-42","TL"
"sa13735","ZDB-GENE-070705-181,ZDB-GENE-060526-138","TL"
"sa13736","ZDB-GENE-080215-1","TL"
"sa13737","ZDB-GENE-040801-33","TL"
"sa13738","ZDB-GENE-030616-413","TL"
"sa13739","ZDB-GENE-030113-2","TL"
"sa13740","ZDB-GENE-040426-1131","TL"
"sa13742","ZDB-GENE-060810-91,ZDB-GENE-101230-1","TL"
"sa13743","ZDB-GENE-091113-49","TL"
"sa13745","ZDB-GENE-040426-1645","TL"
"sa13746","ZDB-GENE-070705-96","TL"
"sa13750","ZDB-GENE-041008-124","TL"
"sa13751","ZDB-GENE-030131-5531","TL"
"sa13753","ZDB-GENE-081107-37","TL"
"sa13754","ZDB-GENE-060421-6479","TL"
"sa13755","ZDB-GENE-040822-40","TL"
"sa13757","ZDB-GENE-030912-11","TL"
"sa13758","ZDB-GENE-040426-2078","TL"
"sa13759","ZDB-GENE-050522-161","TL"
"sa13760","ZDB-GENE-040625-109","TL"
"sa13761","ZDB-GENE-990415-116","TL"
"sa13763","ZDB-GENE-091202-7","TL"
"sa13764","ZDB-GENE-040724-92","TL"
"sa13765","ZDB-GENE-070705-406","TL"
"sa13766","ZDB-GENE-040704-28","TL"
"sa13767","ZDB-GENE-061013-418","TL"
"sa13768","ZDB-GENE-050913-84","TL"
"sa13769","ZDB-GENE-090313-7","TL"
"sa13771","ZDB-GENE-030131-2900","TL"
"sa13773","ZDB-GENE-070209-271","TL"
"sa13774","ZDB-GENE-091204-127","TL"
"sa13775","ZDB-GENE-000209-4","TL"
"sa13776","ZDB-GENE-040724-202","TL"
"sa13777","ZDB-GENE-040426-2217","TL"
"sa13778","ZDB-GENE-040426-1855","TL"
"sa13779","ZDB-GENE-001212-3","TL"
"sa13780","ZDB-GENE-030131-3101","TL"
"sa13782","ZDB-GENE-030131-9174","TL"
"sa13783","ZDB-GENE-060503-374","TL"
"sa13785","ZDB-GENE-990415-215","TL"
"sa13787","ZDB-GENE-081105-15","TL"
"sa13788","ZDB-GENE-080721-19","TL"
"sa13790","ZDB-GENE-070705-280","TL"
"sa13791","ZDB-GENE-041014-346","TL"
"sa13792","ZDB-GENE-080917-55","TL"
"sa13794","ZDB-GENE-040426-759","TL"
"sa13795","ZDB-GENE-100316-4","TL"
"sa13796","ZDB-GENE-030519-1","TL"
"sa13798","ZDB-GENE-030131-1811","TL"
"sa13799","ZDB-GENE-030904-6","TL"
"sa13800","ZDB-GENE-030131-1144","TL"
"sa13801","ZDB-GENE-050510-4","TL"
"sa13802","ZDB-GENE-080425-1","TL"
"sa13803","ZDB-GENE-110411-86","TL"
"sa13804","ZDB-GENE-041014-59","TL"
"sa13805","ZDB-GENE-090313-225","TL"
"sa13806","ZDB-GENE-050208-275","TL"
"sa13807","ZDB-GENE-040426-1187","TL"
"sa13808","ZDB-GENE-091020-11","TL"
"sa13809","ZDB-GENE-030131-6151","TL"
"sa13812","ZDB-GENE-081107-18","TL"
"sa13813","ZDB-GENE-041212-1","TL"
"sa13814","ZDB-GENE-060421-7091","TL"
"sa13815","ZDB-GENE-060503-100","TL"
"sa13816","ZDB-GENE-100921-11","TL"
"sa13817","ZDB-GENE-040801-265","TL"
"sa13818","ZDB-GENE-031118-67","TL"
"sa13819","ZDB-GENE-000906-1","TL"
"sa13820","ZDB-GENE-030616-13","TL"
"sa13821","ZDB-GENE-030131-6622","TL"
"sa13823","ZDB-GENE-110328-1","TL"
"sa13824","ZDB-GENE-050706-80","TL"
"sa13825","ZDB-GENE-070209-253","TL"
"sa13826","ZDB-GENE-070912-187","TL"
"sa13827","ZDB-GENE-050517-21","TL"
"sa13828","ZDB-GENE-051120-177","TL"
"sa13830","ZDB-GENE-041001-163","TL"
"sa13831","ZDB-GENE-030131-3942","TL"
"sa13832","ZDB-GENE-040718-443","TL"
"sa13833","ZDB-GENE-040801-220","TL"
"sa13834","ZDB-GENE-041111-251","TL"
"sa13835","ZDB-GENE-051114-1","TL"
"sa13836","ZDB-GENE-070424-129","TL"
"sa13837","ZDB-GENE-031116-52","TL"
"sa13838","ZDB-GENE-020711-1","TL"
"sa13839","ZDB-GENE-010906-2","TL"
"sa13840","ZDB-GENE-050419-156","TL"
"sa13841","ZDB-GENE-030616-54","TL"
"sa13842","ZDB-GENE-040426-1253","TL"
"sa13843","ZDB-GENE-070627-13","TL"
"sa13844","ZDB-GENE-091204-449","TL"
"sa13846","ZDB-GENE-040912-167","TL"
"sa13847","ZDB-GENE-080425-2","TL"
"sa13848","ZDB-GENE-050809-131","TL"
"sa13850","ZDB-GENE-070209-167","TL"
"sa13851","ZDB-GENE-040426-1225","TL"
"sa13852","ZDB-GENE-040426-2540","TL"
"sa13853","ZDB-GENE-030131-9089","TL"
"sa13854","ZDB-GENE-041111-262","TL"
"sa13855","ZDB-GENE-070912-581","TL"
"sa13856","ZDB-GENE-070816-3","TL"
"sa13857","ZDB-GENE-060503-838","TL"
"sa13858","ZDB-GENE-090313-329","TL"
"sa13860","ZDB-GENE-040426-1178","TL"
"sa13861","ZDB-GENE-040426-1252","TL"
"sa13862","ZDB-GENE-040426-2804","TL"
"sa13863","ZDB-GENE-050309-118","TL"
"sa13864","ZDB-GENE-010126-3","TL"
"sa13865","ZDB-GENE-030131-3606","TL"
"sa13866","ZDB-GENE-050419-221","TL"
"sa13867","ZDB-GENE-030131-3165","TL"
"sa13868","ZDB-GENE-060130-169","TL"
"sa13869","ZDB-GENE-110408-4","TL"
"sa13870","ZDB-GENE-001212-4","TL"
"sa13871","ZDB-GENE-041001-122","TL"
"sa13872","ZDB-GENE-030131-3230","TL"
"sa13874","ZDB-GENE-040426-2482","TL"
"sa13875","ZDB-GENE-090313-98","TL"
"sa13877","ZDB-GENE-000209-3","TL"
"sa13878","ZDB-GENE-080204-65","TL"
"sa13879","ZDB-GENE-080718-4","TL"
"sa13880","ZDB-GENE-050522-328","TL"
"sa13881","ZDB-GENE-030131-9823","TL"
"sa13882","ZDB-GENE-070705-96","TL"
"sa13883","ZDB-GENE-070912-385","TL"
"sa13884","ZDB-GENE-030113-2","TL"
"sa13885","ZDB-GENE-050913-129","TL"
"sa13886","ZDB-GENE-031030-7","TL"
"sa13888","ZDB-GENE-040625-116","TL"
"sa13889","ZDB-GENE-080207-1","TL"
"sa13890","ZDB-GENE-041212-79","TL"
"sa13891","ZDB-GENE-040426-2556","TL"
"sa13893","ZDB-GENE-090313-135","TL"
"sa13894","ZDB-GENE-040305-2","TL"
"sa13895","ZDB-GENE-070630-1","TL"
"sa13896","ZDB-GENE-041024-1","TL"
"sa13897","ZDB-GENE-010328-15","TL"
"sa13899","ZDB-GENE-050522-264","TL"
"sa13900","ZDB-GENE-040704-53","TL"
"sa13901","ZDB-GENE-030131-9784","TL"
"sa13902","ZDB-GENE-081104-438","TL"
"sa13903","ZDB-GENE-030131-731","TL"
"sa13904","ZDB-GENE-050809-115","TL"
"sa13905","ZDB-GENE-031003-1","TL"
"sa13906","ZDB-GENE-040426-2781","TL"
"sa13907","ZDB-GENE-070209-122","TL"
"sa13908","ZDB-GENE-070912-401","TL"
"sa13910","ZDB-GENE-070912-318","TL"
"sa13911","ZDB-GENE-060526-60","TL"
"sa13912","ZDB-GENE-991208-8","TL"
"sa13913","ZDB-GENE-060503-69","TL"
"sa13914","ZDB-GENE-030131-4532","TL"
"sa13915","ZDB-GENE-041114-125","TL"
"sa13916","ZDB-GENE-030131-183","TL"
"sa13917","ZDB-GENE-040724-51","TL"
"sa13918","ZDB-GENE-110408-64","TL"
"sa13920","ZDB-GENE-090313-270","TL"
"sa13921","ZDB-GENE-030131-1113","TL"
"sa13923","ZDB-GENE-041001-185","TL"
