"Allele","ZFIN ID","Background"
"sa17260","ZDB-GENE-041010-67","TL"
"sa17261","ZDB-GENE-071008-4","TL"
"sa17262","ZDB-GENE-001207-7","TL"
"sa17263","ZDB-GENE-110411-97","TL"
"sa17264","ZDB-GENE-120215-22","TL"
"sa17265","ZDB-GENE-060526-123","TL"
"sa17266","ZDB-GENE-070424-227","TL"
"sa17268","ZDB-GENE-030131-9158","TL"
"sa17269","ZDB-GENE-081105-39","TL"
"sa17270","ZDB-GENE-090312-219","TL"
"sa17271","ZDB-GENE-991123-12","TL"
"sa17272","ZDB-GENE-040718-191","TL"
"sa17273","ZDB-GENE-030131-5721","TL"
"sa17274","ZDB-GENE-081107-11","TL"
"sa17275","ZDB-GENE-091202-7","TL"
"sa17276","ZDB-GENE-060503-562","TL"
"sa17277","ZDB-GENE-120215-116","TL"
"sa17278","ZDB-GENE-060503-341","TL"
"sa17279","ZDB-GENE-110411-60","TL"
"sa17280","ZDB-GENE-110914-164","TL"
"sa17281","ZDB-GENE-030131-1902","TL"
"sa17282","ZDB-GENE-030131-2398","TL"
"sa17283","ZDB-GENE-030131-7570","TL"
"sa17284","ZDB-GENE-040426-2795","TL"
"sa17285","ZDB-GENE-040801-9","TL"
"sa17286","ZDB-GENE-030113-2","TL"
"sa17287","ZDB-GENE-080204-50","TL"
"sa17288","ZDB-GENE-090313-130","TL"
"sa17289","ZDB-GENE-071016-4","TL"
"sa17290","ZDB-GENE-041212-7","TL"
"sa17291","ZDB-GENE-090311-9","TL"
"sa17292","ZDB-GENE-060208-2","TL"
"sa17293","ZDB-GENE-060929-52","TL"
"sa17294","ZDB-GENE-110304-3","TL"
"sa17295","ZDB-GENE-110411-223","TL"
"sa17296","ZDB-GENE-090313-3","TL"
"sa17297","ZDB-GENE-060413-2","TL"
"sa17298","ZDB-GENE-030616-135","TL"
"sa17300","ZDB-GENE-041008-127","TL"
"sa17301","ZDB-GENE-060503-918","TL"
"sa17302","ZDB-GENE-031010-36","TL"
"sa17303","ZDB-GENE-030131-2145","TL"
"sa17304","ZDB-GENE-081104-411","TL"
"sa17305","ZDB-GENE-040426-1122","TL"
"sa17306","ZDB-GENE-030131-5110","TL"
"sa17307","ZDB-GENE-090706-4","TL"
"sa17308","ZDB-GENE-110411-190","TL"
"sa17309","ZDB-GENE-070912-612","TL"
"sa17310","ZDB-GENE-070928-25","TL"
"sa17311","ZDB-GENE-030616-132","TL"
"sa17313","ZDB-GENE-080204-62","TL"
"sa17314","ZDB-GENE-080724-6","TL"
"sa17315","ZDB-GENE-040718-84","TL"
"sa17316","ZDB-GENE-030131-7489","TL"
"sa17317","ZDB-GENE-060503-492","TL"
"sa17318","ZDB-GENE-040426-2874","TL"
"sa17319","ZDB-GENE-050508-5","TL"
"sa17321","ZDB-GENE-090617-1","TL"
"sa17323","ZDB-GENE-120510-2","TL"
"sa17324","ZDB-GENE-040426-2038","TL"
"sa17325","ZDB-GENE-070806-81","TL"
"sa17326","ZDB-GENE-030131-8615","TL"
"sa17327","ZDB-GENE-070112-1812","TL"
"sa17328","ZDB-GENE-041212-7","TL"
"sa17329","ZDB-GENE-030131-6031","TL"
"sa17331","ZDB-GENE-011023-1","TL"
"sa17332","ZDB-GENE-061128-1","TL"
"sa17333","ZDB-GENE-030131-494","TL"
"sa17334","ZDB-GENE-081119-3","TL"
"sa17335","ZDB-GENE-121214-317","TL"
"sa17336","ZDB-GENE-030131-5726","TL"
"sa17337","ZDB-GENE-060825-45","TL"
"sa17339","ZDB-GENE-060810-91,ZDB-GENE-101230-1","TL"
"sa17340","ZDB-GENE-040702-5","TL"
"sa17341","ZDB-GENE-041210-125","TL"
"sa17342","ZDB-GENE-101108-3","TL"
"sa17343","ZDB-GENE-030131-9944","TL"
"sa17344","ZDB-GENE-030131-338","TL"
"sa17346","ZDB-GENE-030616-399","TL"
"sa17347","ZDB-GENE-100922-238","TL"
"sa17349","ZDB-GENE-050419-117","TL"
"sa17350","ZDB-GENE-050320-46","TL"
"sa17351","ZDB-GENE-030131-1426","TL"
"sa17352","ZDB-GENE-040426-1219","TL"
"sa17353","ZDB-GENE-030131-4091","TL"
"sa17354","ZDB-GENE-070402-2","TL"
"sa17355","ZDB-GENE-050809-35","TL"
"sa17356","ZDB-GENE-040426-2828","TL"
"sa17357","ZDB-GENE-020103-2","TL"
"sa17358","ZDB-GENE-081104-181","TL"
"sa17359","ZDB-GENE-081105-26","TL"
"sa17360","ZDB-GENE-081107-4","TL"
"sa17361","ZDB-GENE-030131-2035","TL"
"sa17362","ZDB-GENE-070806-79","TL"
"sa17363","ZDB-GENE-120709-103","TL"
"sa17364","ZDB-GENE-050522-376","TL"
"sa17365","ZDB-GENE-110407-10","TL"
"sa17366","ZDB-GENE-040724-82","TL"
"sa17367","ZDB-GENE-030131-955","TL"
"sa17368","ZDB-GENE-030131-938","TL"
"sa17369","ZDB-GENE-080523-2","TL"
"sa17370","ZDB-GENE-030131-2656","TL"
"sa17371","ZDB-GENE-070810-2","TL"
"sa17372","ZDB-GENE-030131-1428","TL"
"sa17373","ZDB-GENE-061103-253","TL"
"sa17374","ZDB-GENE-041111-110","TL"
"sa17375","ZDB-GENE-040718-98","TL"
"sa17376","ZDB-GENE-060503-151","TL"
"sa17377","ZDB-GENE-050208-742","TL"
"sa17378","ZDB-GENE-050327-26","TL"
"sa17379","ZDB-GENE-030131-3055","TL"
"sa17380","ZDB-GENE-090311-58","TL"
"sa17382","ZDB-GENE-990415-104","TL"
"sa17383","ZDB-GENE-101102-2","TL"
"sa17384","ZDB-GENE-070912-237","TL"
"sa17385","ZDB-GENE-050309-166","TL"
"sa17386","ZDB-GENE-060810-182","TL"
"sa17388","ZDB-GENE-091202-7","TL"
"sa17389","ZDB-GENE-030616-498","TL"
"sa17390","ZDB-GENE-000208-23","TL"
"sa17391","ZDB-GENE-030131-7778","TL"
"sa17392","ZDB-GENE-090311-24","TL"
"sa17393","ZDB-GENE-091204-25","TL"
"sa17394","ZDB-GENE-070705-473","TL"
"sa17395","ZDB-GENE-060503-288","TL"
"sa17396","ZDB-GENE-121214-224","TL"
"sa17397","ZDB-GENE-041001-133","TL"
"sa17398","ZDB-GENE-030131-8247","TL"
"sa17399","ZDB-GENE-061207-54","TL"
"sa17401","ZDB-GENE-030131-8447","TL"
"sa17403","ZDB-GENE-081104-526","TL"
"sa17404","ZDB-GENE-040718-102","TL"
"sa17405","ZDB-GENE-040426-2584","TL"
"sa17406","ZDB-GENE-041111-230","TL"
"sa17407","ZDB-GENE-050706-152","TL"
"sa17408","ZDB-GENE-070912-185","TL"
"sa17409","ZDB-GENE-061013-283","TL"
"sa17410","ZDB-GENE-120215-70","TL"
"sa17411","ZDB-GENE-040426-2864","TL"
"sa17412","ZDB-GENE-060503-518","TL"
"sa17413","ZDB-GENE-060810-94","TL"
"sa17414","ZDB-GENE-040426-1146","TL"
"sa17415","ZDB-GENE-050601-3","TL"
"sa17416","ZDB-GENE-110411-156","TL"
"sa17417","ZDB-GENE-090914-1","TL"
"sa17418","ZDB-GENE-070820-14","TL"
"sa17419","ZDB-GENE-041124-2","TL"
"sa17420","ZDB-GENE-030131-8631","TL"
"sa17421","ZDB-GENE-050208-783","TL"
"sa17422","ZDB-GENE-021217-3","TL"
"sa17423","ZDB-GENE-070705-340","TL"
"sa17424","ZDB-GENE-040426-817","TL"
"sa17425","ZDB-GENE-080425-1","TL"
"sa17426","ZDB-GENE-050522-39","TL"
"sa17428","ZDB-GENE-070912-575","TL"
"sa17429","ZDB-GENE-070209-188","TL"
"sa17431","ZDB-GENE-100514-1","TL"
"sa17433","ZDB-GENE-100921-32,ZDB-GENE-091020-12","TL"
"sa17434","ZDB-GENE-050306-2","TL"
"sa17435","ZDB-GENE-020708-3","TL"
"sa17437","ZDB-GENE-041014-210,ZDB-GENE-081030-22,ZDB-GENE-081031-95","TL"
"sa17438","ZDB-GENE-060825-31","TL"
"sa17439","ZDB-GENE-090312-162,ZDB-GENE-030131-738","TL"
"sa17440","ZDB-GENE-040724-233","TL"
"sa17441","ZDB-GENE-070620-3","TL"
"sa17442","ZDB-GENE-081104-189","TL"
"sa17444","ZDB-GENE-060429-1","TL"
"sa17445","ZDB-GENE-040426-1253","TL"
"sa17447","ZDB-GENE-070912-382","TL"
"sa17448","ZDB-GENE-060503-288","TL"
"sa17450","ZDB-GENE-100922-13","TL"
"sa17451","ZDB-GENE-090429-2","TL"
"sa17452","ZDB-GENE-060512-39","TL"
"sa17453","ZDB-GENE-120215-47","TL"
"sa17454","ZDB-GENE-040718-479","TL"
"sa17455","ZDB-GENE-070912-162","TL"
"sa17456","ZDB-GENE-060503-768","TL"
"sa17457","ZDB-GENE-040426-912","TL"
"sa17458","ZDB-GENE-060526-197","TL"
"sa17459","ZDB-GENE-050417-332","TL"
"sa17460","ZDB-GENE-060526-234","TL"
"sa17462","ZDB-GENE-060929-452","TL"
"sa17465","ZDB-GENE-050208-608","TL"
"sa17466","ZDB-GENE-030131-5378","TL"
"sa17467","ZDB-GENE-040917-2","TL"
"sa17468","ZDB-GENE-070605-1","TL"
"sa17469","ZDB-GENE-030131-7887","TL"
"sa17471","ZDB-GENE-020125-3,ZDB-GENE-020125-1","TL"
"sa17473","ZDB-GENE-070112-1302","TL"
"sa17475","ZDB-GENE-040426-1581","TL"
"sa17477","ZDB-GENE-030616-610","TL"
"sa17478","ZDB-GENE-030829-61,ZDB-GENE-091113-16","TL"
"sa17479","ZDB-GENE-070112-2042","TL"
"sa17480","ZDB-GENE-070112-482","TL"
"sa17482","ZDB-GENE-081104-267","TL"
"sa17483","ZDB-GENE-091118-26","TL"
"sa17484","ZDB-GENE-091117-4","TL"
"sa17487","ZDB-GENE-040426-2032","TL"
"sa17488","ZDB-GENE-051113-236","TL"
"sa17489","ZDB-GENE-980526-340","TL"
"sa17490","ZDB-GENE-060222-2","TL"
"sa17491","ZDB-GENE-041008-196","TL"
"sa17492","ZDB-GENE-100316-5","TL"
"sa17493","ZDB-GENE-100922-243","TL"
"sa17494","ZDB-GENE-070705-268","TL"
"sa17495","ZDB-GENE-071004-1","TL"
"sa17496","ZDB-GENE-100316-5","TL"
"sa17497","ZDB-GENE-050419-118","TL"
"sa17498","ZDB-GENE-110411-30","TL"
"sa17499","ZDB-GENE-041014-149,ZDB-GENE-041014-148,ZDB-GENE-041001-109","TL"
"sa17500","ZDB-GENE-030131-7806","TL"
"sa17501","ZDB-GENE-061013-767","TL"
"sa17502","ZDB-GENE-050302-100","TL"
"sa17503","ZDB-GENE-041210-27","TL"
"sa17504","ZDB-GENE-030131-3271","TL"
"sa17507","ZDB-GENE-031113-23","TL"
"sa17508","ZDB-GENE-090312-68","TL"
"sa17509","ZDB-GENE-040426-2070","TL"
"sa17510","ZDB-GENE-060526-68","TL"
"sa17511","ZDB-GENE-031118-76","TL"
"sa17512","ZDB-GENE-030131-1502","TL"
"sa17513","ZDB-GENE-060503-214","TL"
"sa17514","ZDB-GENE-080107-2","TL"
"sa17515","ZDB-GENE-030131-4869","TL"
"sa17516","ZDB-GENE-030131-4042","TL"
"sa17517","ZDB-GENE-980526-208","TL"
"sa17518","ZDB-GENE-050706-83","TL"
"sa17519","ZDB-GENE-030131-4444","TL"
"sa17520","ZDB-GENE-091117-39","TL"
"sa17521","ZDB-GENE-101026-2","TL"
"sa17522","ZDB-GENE-090122-1","TL"
"sa17523","ZDB-GENE-050506-42","TL"
"sa17525","ZDB-GENE-070410-5","TL"
"sa17526","ZDB-GENE-050522-551","TL"
"sa17527","ZDB-GENE-041114-95","TL"
"sa17528","ZDB-GENE-040426-2644","TL"
"sa17529","ZDB-GENE-080213-12","TL"
"sa17530","ZDB-GENE-041001-46","TL"
"sa17531","ZDB-GENE-110411-84","TL"
"sa17532","ZDB-GENE-050522-23","TL"
"sa17534","ZDB-GENE-090406-1","TL"
"sa17535","ZDB-GENE-011105-1","TL"
"sa17536","ZDB-GENE-080723-31","TL"
"sa17538","ZDB-GENE-090311-47","TL"
"sa17539","ZDB-GENE-040718-155","TL"
"sa17540","ZDB-GENE-030131-108","TL"
"sa17541","ZDB-GENE-070112-2372","TL"
"sa17542","ZDB-GENE-001212-4","TL"
"sa17546","ZDB-GENE-051113-268","TL"
"sa17548","ZDB-GENE-990415-85","TL"
"sa17549","ZDB-GENE-070912-237","TL"
"sa17550","ZDB-GENE-120709-97","TL"
"sa17551","ZDB-GENE-041008-23","TL"
"sa17552","ZDB-GENE-031106-3","TL"
"sa17553","ZDB-GENE-060503-724","TL"
"sa17556","ZDB-GENE-050506-146","TL"
"sa17557","ZDB-GENE-060503-475","TL"
"sa17558","ZDB-GENE-030131-3606","TL"
"sa17559","ZDB-GENE-030131-5466","TL"
"sa17560","ZDB-GENE-041014-4","TL"
"sa17561","ZDB-GENE-030909-3","TL"
"sa17563","ZDB-GENE-070912-81","TL"
"sa17564","ZDB-GENE-041212-40","TL"
"sa17565","ZDB-GENE-040426-759","TL"
"sa17566","ZDB-GENE-990415-279","TL"
"sa17567","ZDB-GENE-090313-90","TL"
"sa17570","ZDB-GENE-070705-302","TL"
"sa17571","ZDB-GENE-040426-979","TL"
"sa17572","ZDB-GENE-061207-24","TL"
"sa17573","ZDB-GENE-030131-8115","TL"
"sa17574","ZDB-GENE-030131-8917","TL"
"sa17575","ZDB-GENE-050208-54","TL"
"sa17576","ZDB-GENE-041010-218","TL"
"sa17577","ZDB-GENE-100920-3","TL"
"sa17578","ZDB-GENE-060825-109","TL"
"sa17579","ZDB-GENE-021031-1","TL"
"sa17582","ZDB-GENE-030707-3","TL"
"sa17583","ZDB-GENE-000607-70","TL"
"sa17584","ZDB-GENE-041001-166","TL"
"sa17585","ZDB-GENE-070705-301","TL"
"sa17587","ZDB-GENE-041111-223","TL"
"sa17588","ZDB-GENE-090506-7","TL"
"sa17589","ZDB-GENE-030131-8720","TL"
"sa17591","ZDB-GENE-070705-340","TL"
"sa17592","ZDB-GENE-040718-405","TL"
"sa17593","ZDB-GENE-041210-84","TL"
"sa17594","ZDB-GENE-050516-9","TL"
"sa17595","ZDB-GENE-091113-34","TL"
"sa17596","ZDB-GENE-050320-47","TL"
"sa17597","ZDB-GENE-121214-202","TL"
"sa17598","ZDB-GENE-990714-13","TL"
"sa17600","ZDB-GENE-041111-262","TL"
"sa17601","ZDB-GENE-060503-399","TL"
"sa17602","ZDB-GENE-040912-77","TL"
"sa17603","ZDB-GENE-070705-84","TL"
"sa17604","ZDB-GENE-080515-3","TL"
"sa17606","ZDB-GENE-090313-238","TL"
"sa17607","ZDB-GENE-090311-17","TL"
"sa17608","ZDB-GENE-030131-4022","TL"
"sa17610","ZDB-GENE-030131-5391","TL"
"sa17611","ZDB-GENE-030616-413","TL"
"sa17612","ZDB-GENE-040426-1130","TL"
"sa17615","ZDB-GENE-070912-83","TL"
"sa17616","ZDB-GENE-060503-452","TL"
"sa17617","ZDB-GENE-040808-29","TL"
"sa17618","ZDB-GENE-050107-5","TL"
"sa17619","ZDB-GENE-030131-6003","TL"
"sa17620","ZDB-GENE-030131-5511","TL"
"sa17621","ZDB-GENE-081104-446","TL"
"sa17622","ZDB-GENE-050517-40","TL"
"sa17623","ZDB-GENE-041114-134","TL"
"sa17624","ZDB-GENE-030131-6238","TL"
"sa17625","ZDB-GENE-030828-10","TL"
"sa17626","ZDB-GENE-030131-2209","TL"
"sa17627","ZDB-GENE-110830-2","TL"
"sa17628","ZDB-GENE-060825-202","TL"
"sa17629","ZDB-GENE-070912-619","TL"
"sa17630","ZDB-GENE-081104-199","TL"
"sa17633","ZDB-GENE-070814-6","TL"
"sa17634","ZDB-GENE-121214-179","TL"
"sa17635","ZDB-GENE-090313-168","TL"
"sa17636","ZDB-GENE-040801-265","TL"
"sa17637","ZDB-GENE-070821-3","TL"
"sa17638","ZDB-GENE-030131-6559","TL"
"sa17639","ZDB-GENE-060503-341","TL"
"sa18027","ZDB-GENE-080104-7","TL"
"Allele","ZFIN ID","Background"
"sa16616","ZDB-GENE-080104-7","TL"
"sa16758","ZDB-GENE-080104-7","TL"
"sa17642","ZDB-GENE-041010-46","TL"
"sa17643","ZDB-GENE-080219-43","TL"
"sa17644","ZDB-GENE-070410-17","TL"
"sa17645","ZDB-GENE-070112-2232","TL"
"sa17646","ZDB-GENE-121214-301","TL"
"sa17647","ZDB-GENE-030912-11","TL"
"sa17648","ZDB-GENE-080303-31","TL"
"sa17649","ZDB-GENE-110411-177","TL"
"sa17651","ZDB-GENE-070705-554","TL"
"sa17652","ZDB-GENE-070209-226","TL"
"sa17653","ZDB-GENE-050208-742","TL"
"sa17654","ZDB-GENE-030131-6041","TL"
"sa17655","ZDB-GENE-100922-143","TL"
"sa17656","ZDB-GENE-040426-1820","TL"
"sa17657","ZDB-GENE-070424-67","TL"
"sa17658","ZDB-GENE-040426-1901","TL"
"sa17659","ZDB-GENE-090313-277","TL"
"sa17660","ZDB-GENE-050320-8","TL"
"sa17661","ZDB-GENE-040724-67","TL"
"sa17663","ZDB-GENE-070424-52","TL"
"sa17664","ZDB-GENE-030131-6458","TL"
"sa17665","ZDB-GENE-121214-74","TL"
"sa17666","ZDB-GENE-090312-150","TL"
"sa17667","ZDB-GENE-030131-9831","TL"
"sa17668","ZDB-GENE-041111-303","TL"
"sa17669","ZDB-GENE-070410-82","TL"
"sa17671","ZDB-GENE-000906-1","TL"
"sa17673","ZDB-GENE-090311-9","TL"
"sa17675","ZDB-GENE-021120-2","TL"
"sa17676","ZDB-GENE-030131-2624","TL"
"sa17677","ZDB-GENE-030131-1665","TL"
"sa17678","ZDB-GENE-030616-153","TL"
"sa17679","ZDB-GENE-060503-848","TL"
"sa17680","ZDB-GENE-041001-151","TL"
"sa17681","ZDB-GENE-070705-222","TL"
"sa17682","ZDB-GENE-040426-2868","TL"
"sa17683","ZDB-GENE-040426-22","TL"
"sa17684","ZDB-GENE-110408-6","TL"
"sa17686","ZDB-GENE-040426-1476","TL"
"sa17687","ZDB-GENE-030131-4968","TL"
"sa17689","ZDB-GENE-070720-15","TL"
"sa17690","ZDB-GENE-091204-23","TL"
"sa17691","ZDB-GENE-010126-2","TL"
"sa17692","ZDB-GENE-040426-1195","TL"
"sa17693","ZDB-GENE-090313-98","TL"
"sa17694","ZDB-GENE-050522-503","TL"
"sa17695","ZDB-GENE-040426-1825","TL"
"sa17696","ZDB-GENE-040426-1446","TL"
"sa17697","ZDB-GENE-040912-185","TL"
"sa17698","ZDB-GENE-050303-1","TL"
"sa17700","ZDB-GENE-030408-2","TL"
"sa17701","ZDB-GENE-110310-8","TL"
"sa17702","ZDB-GENE-120709-97","TL"
"sa17705","ZDB-GENE-040718-381","TL"
"sa17706","ZDB-GENE-041111-204","TL"
"sa17707","ZDB-GENE-051120-33,ZDB-GENE-050522-464","TL"
"sa17708","ZDB-GENE-060125-2","TL"
"sa17709","ZDB-GENE-980526-116","TL"
"sa17710","ZDB-GENE-070705-36","TL"
"sa17711","ZDB-GENE-030131-419","TL"
"sa17713","ZDB-GENE-030131-1428","TL"
"sa17714","ZDB-GENE-040426-803","TL"
"sa17715","ZDB-GENE-030131-4487","TL"
"sa17716","ZDB-GENE-040426-2452","TL"
"sa17717","ZDB-GENE-030131-1826","TL"
"sa17718","ZDB-GENE-051120-15","TL"
"sa17719","ZDB-GENE-091117-3","TL"
"sa17720","ZDB-GENE-050913-84","TL"
"sa17721","ZDB-GENE-040625-76","TL"
"sa17723","ZDB-GENE-030131-3566","TL"
"sa17724","ZDB-GENE-070228-2","TL"
"sa17725","ZDB-GENE-040426-1953","TL"
"sa17727","ZDB-GENE-040426-2835","TL"
"sa17728","ZDB-GENE-081105-160","TL"
"sa17729","ZDB-GENE-040625-82","TL"
"sa17730","ZDB-GENE-041001-209","TL"
"sa17731","ZDB-GENE-070424-67","TL"
"sa17732","ZDB-GENE-070912-219","TL"
"sa17733","ZDB-GENE-010525-1","TL"
"sa17735","ZDB-GENE-050930-1,ZDB-GENE-021220-1","TL"
"sa17736","ZDB-GENE-030131-2997","TL"
"sa17737","ZDB-GENE-050522-330","TL"
"sa17739","ZDB-GENE-060503-606","TL"
"sa17740","ZDB-GENE-030131-2845","TL"
"sa17741","ZDB-GENE-030131-8274","TL"
"sa17743","ZDB-GENE-020905-1","TL"
"sa17744","ZDB-GENE-110407-7","TL"
"sa17745","ZDB-GENE-081104-417","TL"
"sa17748","ZDB-GENE-081031-9","TL"
"sa17749","ZDB-GENE-040724-50,ZDB-GENE-121214-340","TL"
"sa17750","ZDB-GENE-100922-78,ZDB-GENE-061009-24","TL"
"sa17751","ZDB-GENE-060825-271","TL"
"sa17752","ZDB-GENE-030131-5371","TL"
"sa17753","ZDB-GENE-061013-537","TL"
"sa17754","ZDB-GENE-091112-19","TL"
"sa17755","ZDB-GENE-080218-14","TL"
"sa17756","ZDB-GENE-100922-188","TL"
"sa17757","ZDB-GENE-030131-4784","TL"
"sa17758","ZDB-GENE-030131-2862","TL"
"sa17760","ZDB-GENE-050706-89","TL"
"sa17761","ZDB-GENE-071004-30","TL"
"sa17762","ZDB-GENE-071004-78","TL"
"sa17763","ZDB-GENE-090313-238","TL"
"sa17764","ZDB-GENE-030616-133","TL"
"sa17765","ZDB-GENE-040426-1150","TL"
"sa17766","ZDB-GENE-010328-14","TL"
"sa17767","ZDB-GENE-110406-5","TL"
"sa17768","ZDB-GENE-090313-341","TL"
"sa17769","ZDB-GENE-980526-558","TL"
"sa17770","ZDB-GENE-070720-15","TL"
"sa17771","ZDB-GENE-010126-2","TL"
"sa17772","ZDB-GENE-030319-6","TL"
"sa17773","ZDB-GENE-081105-64","TL"
"sa17774","ZDB-GENE-040426-1563","TL"
"sa17775","ZDB-GENE-030219-74","TL"
"sa17776","ZDB-GENE-991207-1","TL"
"sa17777","ZDB-GENE-130531-25","TL"
"sa17778","ZDB-GENE-040426-1825","TL"
"sa17779","ZDB-GENE-050303-1","TL"
"sa17780","ZDB-GENE-040625-65","TL"
"sa17781","ZDB-GENE-070912-482","TL"
"sa17782","ZDB-GENE-070912-412","TL"
"sa17785","ZDB-GENE-041111-255","TL"
"sa17786","ZDB-GENE-000329-17","TL"
"sa17787","ZDB-GENE-040426-1115","TL"
"sa17791","ZDB-GENE-061013-224","TL"
"sa17793","ZDB-GENE-090313-386","TL"
"sa17794","ZDB-GENE-030729-1","TL"
"sa17796","ZDB-GENE-041210-239","TL"
"sa17797","ZDB-GENE-000330-4","TL"
"sa17798","ZDB-GENE-061207-24","TL"
"sa17799","ZDB-GENE-050913-133","TL"
"sa17800","ZDB-GENE-030131-2485","TL"
"sa17801","ZDB-GENE-061215-54","TL"
"sa17802","ZDB-GENE-070705-153","TL"
"sa17804","ZDB-GENE-030131-1783","TL"
"sa17805","ZDB-GENE-050522-147","TL"
"sa17806","ZDB-GENE-111115-1","TL"
"sa17808","ZDB-GENE-041111-120","TL"
"sa17809","ZDB-GENE-010130-2","TL"
"sa17810","ZDB-GENE-070424-39","TL"
"sa17812","ZDB-GENE-030131-9834","TL"
"sa17813","ZDB-GENE-020107-3","TL"
"sa17814","ZDB-GENE-060915-2","TL"
"sa17815","ZDB-GENE-050419-32","TL"
"sa17816","ZDB-GENE-040426-1260","TL"
"sa17817","ZDB-GENE-121105-2","TL"
"sa17818","ZDB-GENE-121214-141,ZDB-GENE-121214-142,ZDB-GENE-080220-24","TL"
"sa17819","ZDB-GENE-030131-6070","TL"
"sa17820","ZDB-GENE-041111-223","TL"
"sa17821","ZDB-GENE-070702-1","TL"
"sa17822","ZDB-GENE-030131-4645","TL"
"sa17824","ZDB-GENE-080707-1","TL"
"sa17825","ZDB-GENE-040426-2222","TL"
"sa17826","ZDB-GENE-050220-1","TL"
"sa17828","ZDB-GENE-060503-484","TL"
"sa17829","ZDB-GENE-011023-1","TL"
"sa17830","ZDB-GENE-081104-25","TL"
"sa17832","ZDB-GENE-070501-1","TL"
"sa17833","ZDB-GENE-070912-345","TL"
"sa17834","ZDB-GENE-030131-4078","TL"
"sa17836","ZDB-GENE-041001-193","TL"
"sa17837","ZDB-GENE-030131-6208","TL"
"sa17838","ZDB-GENE-050208-620","TL"
"sa17839","ZDB-GENE-000607-77,ZDB-GENE-030131-1759","TL"
"sa17840","ZDB-GENE-050522-112","TL"
"sa17842","ZDB-GENE-070308-4","TL"
"sa17843","ZDB-GENE-030616-608","TL"
"sa17844","ZDB-GENE-030827-3","TL"
"sa17845","ZDB-GENE-030131-3982","TL"
"sa17846","ZDB-GENE-070112-2122","TL"
"sa17847","ZDB-GENE-040426-1309","TL"
"sa17849","ZDB-GENE-060810-28","TL"
"sa17850","ZDB-GENE-031118-112","TL"
"sa17851","ZDB-GENE-081107-52","TL"
"sa17852","ZDB-GENE-030616-47","TL"
"sa17853","ZDB-GENE-030131-4078","TL"
"sa17855","ZDB-GENE-030131-6435","TL"
"sa17856","ZDB-GENE-040426-1687","TL"
"sa17857","ZDB-GENE-041014-178","TL"
"sa17858","ZDB-GENE-060929-696","TL"
"sa17859","ZDB-GENE-040426-2005","TL"
"sa17860","ZDB-GENE-040426-1850","TL"
"sa17861","ZDB-GENE-050417-187","TL"
"sa17862","ZDB-GENE-051113-256","TL"
"sa17863","ZDB-GENE-121214-224","TL"
"sa17864","ZDB-GENE-010110-3","TL"
"sa17865","ZDB-GENE-030616-614","TL"
"sa17866","ZDB-GENE-041014-367","TL"
"sa17867","ZDB-GENE-091118-20","TL"
"sa17868","ZDB-GENE-030131-3694","TL"
"sa17869","ZDB-GENE-090311-45","TL"
"sa17870","ZDB-GENE-090311-29","TL"
"sa17871","ZDB-GENE-080227-9","TL"
"sa17872","ZDB-GENE-041010-214","TL"
"sa17873","ZDB-GENE-030131-6174","TL"
"sa17874","ZDB-GENE-060531-80","TL"
"sa17875","ZDB-GENE-020416-5","TL"
"sa17876","ZDB-GENE-100707-2","TL"
"sa17877","ZDB-GENE-991102-15","TL"
"sa17878","ZDB-GENE-030131-139","TL"
"sa17879","ZDB-GENE-070112-1812","TL"
"sa17880","ZDB-GENE-050208-644","TL"
"sa17881","ZDB-GENE-061220-1","TL"
"sa17882","ZDB-GENE-980605-9","TL"
"sa17883","ZDB-GENE-980526-196","TL"
"sa17884","ZDB-GENE-100922-39","TL"
"sa17885","ZDB-GENE-040426-1366","TL"
"sa17886","ZDB-GENE-100112-1","TL"
"sa17888","ZDB-GENE-040824-1","TL"
"sa17889","ZDB-GENE-041014-354","TL"
"sa17890","ZDB-GENE-060503-83","TL"
"sa17894","ZDB-GENE-080104-2","TL"
"sa17895","ZDB-GENE-040715-1","TL"
"sa17896","ZDB-GENE-030131-8719","TL"
"sa17897","ZDB-GENE-040426-2115","TL"
"sa17899","ZDB-GENE-050809-88","TL"
"sa17900","ZDB-GENE-040426-1884","TL"
"sa17901","ZDB-GENE-040426-1229","TL"
"sa17902","ZDB-GENE-060929-696","TL"
"sa17903","ZDB-GENE-030131-1423","TL"
"sa17904","ZDB-GENE-030619-16","TL"
"sa17905","ZDB-GENE-090812-4","TL"
"sa17906","ZDB-GENE-080513-4","TL"
"sa17907","ZDB-GENE-081105-56","TL"
"sa17908","ZDB-GENE-050417-131","TL"
"sa17909","ZDB-GENE-030131-5399","TL"
"sa17910","ZDB-GENE-030131-6849","TL"
"sa17911","ZDB-GENE-050419-126","TL"
"sa17912","ZDB-GENE-041014-299","TL"
"sa17913","ZDB-GENE-030131-9751","TL"
"sa17914","ZDB-GENE-040822-33","TL"
"sa17915","ZDB-GENE-081104-387","TL"
"sa17916","ZDB-GENE-110411-215","TL"
"sa17917","ZDB-GENE-070209-23","TL"
"sa17918","ZDB-GENE-040426-1708","TL"
"sa17919","ZDB-GENE-100922-12","TL"
"sa17921","ZDB-GENE-030131-6023","TL"
"sa17922","ZDB-GENE-041014-214","TL"
