sa107,ZDB-GENE-040625-119,TL
sa127,ZDB-GENE-081104-348,TL
sa364,ZDB-GENE-080916-1,TL
sa365,ZDB-GENE-040426-1311,TL
sa366,ZDB-GENE-050419-76,TL
sa367,ZDB-GENE-050417-440,TL
sa368,ZDB-GENE-030131-8158,TL
sa371,ZDB-GENE-030131-2146,TL
sa372,ZDB-GENE-031104-2,TL
sa374,ZDB-GENE-050208-376,TL
sa375,ZDB-GENE-040426-976,TL
sa377,ZDB-GENE-040426-2323,TL
sa379,ZDB-GENE-021226-3,TL
sa380,ZDB-GENE-040426-792,TL
sa381,ZDB-GENE-030131-1033,TL
sa382,ZDB-GENE-040831-1,TL
sa383,ZDB-GENE-030729-8,TL
sa384,ZDB-GENE-980605-30,TL
sa385,ZDB-GENE-050420-186,TL
sa386,ZDB-GENE-030408-2,TL
sa387,ZDB-GENE-041020-1,TL
sa389,ZDB-GENE-040801-209,TL
sa390,ZDB-GENE-081031-9,TL
sa391,ZDB-GENE-030131-2774,TL
sa392,ZDB-GENE-060503-454,TL
sa393,ZDB-GENE-060503-439,TL
sa394,ZDB-GENE-070424-36,TL
sa395,ZDB-GENE-040426-1302,TL
sa396,ZDB-GENE-060929-324,TL
sa397,ZDB-GENE-060531-130,TL
sa398,ZDB-GENE-030502-3,TL
sa399,ZDB-GENE-060929-416,TL
sa400,ZDB-GENE-030721-7,TL
sa401,ZDB-GENE-040426-1551,TL
sa402,ZDB-GENE-070112-922,TL
sa404,ZDB-GENE-061207-28,TL
sa405,ZDB-GENE-040718-377,TL
sa406,ZDB-GENE-060810-69,TL
sa407,ZDB-GENE-050517-10,TL
sa408,ZDB-GENE-020423-3,TL
sa409,ZDB-GENE-061103-172,TL
sa410,ZDB-GENE-040617-1,TL
sa412,ZDB-GENE-030616-245,TL
sa413,ZDB-GENE-050916-1,TL
sa414,ZDB-GENE-031222-5,TL
sa415,ZDB-GENE-030131-2768,TL
sa417,ZDB-GENE-080807-4,TL
sa418,ZDB-GENE-070705-151,TL
sa419,ZDB-GENE-060526-131,TL
sa420,ZDB-GENE-060526-203,TL
sa421,ZDB-GENE-040426-818,TL
